"","street_address","latitude","longitude","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"1","1 16 And Ga Route 19",32.53687,-82.900576,43.1,39796,8,2737,1281,1406,0,36,14
"2","1 Amlajack Blvd",33.397632,-84.753559,38.9667595430482,67213.38457223,3589,1478273,896138,378932,43761,120016,39426
"3","1 Diamond Cswy",31.957169,-81.099525,42.5321266968326,73128.2442396313,221,115237,73882,25829,4484,7103,3939
"4","1 E Derenne Ave",32.029027,-81.110382,36.2255882352941,54652.4298780488,340,186794,102832,59193,4111,14190,6468
"5","1 Gateway Blvd E",32.005077,-81.281152,39.5078174743544,64993.2227775794,2827,1608198,982494,296809,58738,219836,50321
"6","1 Main St",31.887254,-85.108149,42.4909492273731,44821.3990929705,453,148269,89640,40801,2415,11772,3641
"7","10 Franklin Rd",33.385416,-84.82099,39.7086820083682,60436.0135983264,956,202793,131033,47689,3835,15321,4915
"8","10 Linda Ln",33.617636,-85.078422,37.985761589404,61310.5884353741,302,137811,99117,23536,1946,9238,3974
"9","10 Lowery Rd",34.144163,-84.977629,39.9641577060932,66432.5627240143,279,86853,67581,11390,1075,4341,2466
"10","10 Meeting St",31.938878,-81.053136,47.2481012658228,83432.0281329923,395,176883,116769,38135,4453,11057,6469
"11","10 N Godley Station Blvd",32.135979,-81.255147,37.4470241286863,67456.2854065697,1865,615769,384196,130082,16768,65637,19086
"12","10 Patrick Mill Rd SW",33.991462,-83.774131,37.5054,65938.118,500,233669,156355,40216,7195,23259,6644
"13","10 The Crescent",33.400907,-84.794695,38.849358974359,75554.0480769231,312,147358,92024,35152,5356,11109,3717
"14","10 W Highway 5",33.491086,-84.912445,40.8693939393939,60559.6575757576,330,155322,112236,28825,2738,7783,3740
"15","100 Alex Dr",30.753442,-81.588044,39.7680555555556,66566.9722222222,72,46452,36283,5468,901,2827,973
"16","100 Central Blvd",32.330167,-81.392093,36.3068,60362.2721774194,500,165927,106456,34840,2582,16778,5271
"17","100 Central Blvd",32.330426,-81.39193,36.9798960138648,59248.1949740035,1154,219921,150772,46322,3397,12117,7313
"18","100 Chamberlain Ave",33.430455,-82.117474,34.2204958677686,69348.7779751332,605,256521,140456,71673,9549,22426,12417
"19","100 Cobb Pkwy",34.969328,-85.194409,41.4621233194251,62305.4495114006,2157,546752,436418,38666,11392,48084,12192
"20","100 E Main St",30.991128,-83.372323,34.1373626373626,51166.3619402985,273,68273,45450,15018,1564,4448,1793
"21","100 Fitzgerald Hwy",31.608192,-83.251148,44.6,41247.5,8,2411,1694,668,0,15,34
"22","100 Ga 22",33.07794,-83.305181,45.4,80838,4,1679,1090,440,0,149,0
"23","100 GA Highway 22 W",33.101108,-83.248544,39.9702875399361,51873.3967213115,313,104545,68228,27876,2332,3361,2748
"24","100 John E Howard Dr",32.610821,-83.746925,40.4120448179272,56823.9103641457,357,139035,83704,39762,5644,6829,3096
"25","100 Lakewood Way SW",33.699224,-84.392914,35.55,56187,64,34914,14655,15770,719,3148,622
"26","100 Lakewood Way SW",33.699224,-84.392825,34.8837606837607,51324.7577092511,234,160355,46410,94052,4427,10917,4549
"27","100 Macon Hwy",33.922562,-83.378821,37.7477142857143,62501.3053892216,350,205154,140627,30238,12119,17503,4667
"28","100 Magellan Blvd",32.196733,-81.197834,37.7743243243243,74615.6328217237,1702,589967,373432,95387,16594,86763,17791
"29","100 May Creek Dr",30.790803,-81.66288,40.9050613496932,71172.3136645963,652,388635,254637,57807,16175,49742,10274
"30","100 Moonlight Ln",32.080367,-81.282416,38.291049382716,68871.7361111111,648,377974,233449,93534,10867,27667,12457
"31","100 N Oaks Dr",34.804997,-84.957829,39.673023255814,53711.1348837209,215,80022,58832,3326,1063,15661,1140
"32","100 Oak Tree Rd",32.37188,-82.069759,40.0766037735849,65982.0076628353,265,132285,100587,18205,2749,8163,2581
"33","100 Old Quitman Rd",31.122627,-83.418917,37.1229074889868,49118.0653495441,681,156917,101813,33904,2448,15216,3536
"34","100 S Heron St",32.814338,-83.678999,37.4904494382022,44555.8224852071,178,70331,28888,35059,1920,3501,963
"35","100 Sara Lee Dr",33.348028,-83.393055,43.3194232400339,59399.894918174,1179,499486,350662,86550,11517,38811,11946
"36","100 Us 129",30.703227,-83.028332,42.0024691358025,50308.8888888889,81,24215,15326,4197,952,2853,887
"37","1000 1st Ave",31.178388,-83.77649,37.7523219814241,44052.6320754717,323,62624,34967,17019,439,9203,996
"38","1000 Athens St",34.292567,-83.807657,35,54555.4461538462,65,38809,22572,5395,798,9205,839
"39","1000 Avenue H",32.876978,-85.173745,38.5027397260274,62482.3623188406,146,70088,44487,18858,3397,1962,1384
"40","1000 Bear Creek Blvd",33.389761,-84.307558,38.699504950495,58482.2380952381,404,188332,95524,71561,3548,13224,4475
"41","1000 E Park Ave",30.857539,-83.271926,31.4792792792793,32783.3603603604,111,40233,15707,22181,316,1200,829
"42","1000 Madison Hwy",30.818591,-83.275618,35.0635555555556,44683.665158371,225,87873,47227,29864,1310,7245,2227
"43","1000 Marietta Hwy",34.005048,-84.390945,41.5651428571429,110158.971428571,175,91536,63309,11841,5409,8129,2848
"44","1000 Pine St",32.248373,-83.742076,40.6224637681159,62605.4701492537,276,177687,110629,29157,8290,25092,4519
"45","1000 Sommers Blvd",31.925476,-81.332646,40.1479905437352,64518.2469733656,423,236231,153703,44254,6754,23775,7745
"46","10004 Abercorn St",31.991752,-81.129414,35.7928571428571,58400.3571428571,112,84614,54998,18715,2117,5572,3212
"47","10004 Abercorn St",31.991845,-81.129585,34.9831168831169,53546.7792207792,77,40321,20689,13822,1111,3095,1604
"48","1001 2nd St W",31.458288,-83.527302,39.0722996515679,55286.3922261484,574,243836,153556,44229,4715,36287,5049
"49","1001 5th St NE",30.886617,-84.200559,38.3551724137931,33623.7777777778,58,14189,6567,5776,109,1425,312
"50","1001 Elberta Rd",32.635407,-83.634319,37.5033653846154,43166.8529411765,208,72355,36196,26669,2264,5434,1792
"51","1001 Lafayette Rd",34.883783,-85.270442,42.0491129785247,55343.5913776945,1071,184695,158996,11467,1639,8740,3853
"52","1001 N Hwy 27",34.883478,-85.270572,41.1480952380952,57505.5714285714,210,69937,62674,3632,553,1447,1631
"53","1001 N Park St",33.594564,-85.07915,35.7611764705882,47522.5058823529,85,52038,35258,10615,463,4194,1508
"54","1001 Northside Dr NW",33.781909,-84.407026,35.9774869109948,63357.0052356021,191,142240,67390,46871,7729,17101,3149
"55","1001 Van Streat Hwy",31.517753,-82.634713,38.2219330855019,44305.8226415094,269,50862,33083,10415,890,5794,680
"56","1001 Van Streat Hwy",31.517832,-82.634712,38.7182410423453,44247.0993150685,307,75377,52676,11858,891,8947,1005
"57","10010 Tara Blvd",33.48193,-84.338717,34.1893939393939,59476.7886597938,198,135769,48124,70569,3701,10389,2986
"58","1002 Oakridge Dr",31.548689,-84.176356,39.3904306220096,47111.52,209,86321,37966,41794,1681,3281,1599
"59","1002 W Main St",33.030152,-83.965078,39.8267857142857,51408.4285714286,56,20445,13913,5373,95,507,557
"60","1003 Canton St",34.026022,-84.361174,42.6527272727273,112790.863636364,110,52941,40073,3694,3208,4056,1910
"61","1003 Forest Pkwy",33.617659,-84.357468,36.3687224669604,55384.6511627907,227,138075,31344,82995,4655,14583,4498
"62","1003 Long Bridge Rd",32.362435,-81.227839,35.1538461538462,63552.6239316239,117,48907,36505,7725,401,2871,1405
"63","1003 W 4th St",31.134189,-83.436629,40.5341897233202,62382.280876494,506,319539,212909,38526,8043,53516,6545
"64","1003 W Screven St",30.785565,-83.568471,40.064,41195.7685185185,225,48288,26183,18681,765,1924,735
"65","10030 Zebulon Rd",33.122738,-84.329106,39.2482587064677,57634.9502487562,201,55698,43243,9077,403,1611,1364
"66","1004 Coleman Register Rd",32.379905,-82.992303,39.4884792626728,37798.0953488372,434,56663,38037,14972,674,1467,1513
"67","10055 Eagle Dr",33.574509,-83.839656,38.8468146718147,64138.0948103792,1036,277111,159736,84980,5205,20286,6904
"68","1006 E River Rd",30.914457,-84.564739,41.1714285714286,44341.8739495798,119,31628,17400,11778,506,1508,436
"69","1006 King George Blvd",31.985626,-81.219176,35.2262745098039,62854.3992094862,510,219126,117402,65174,5683,21549,9318
"70","1006 King George Blvd",31.985853,-81.219215,30.5,56669.5,8,7807,2752,3321,130,738,866
"71","1006 Plant Ave",31.214467,-82.353427,43.3333333333333,46513.3333333333,12,4343,3331,637,6,358,11
"72","1006 Plant Ave",31.214542,-82.353383,41.1027027027027,45370.5698529412,296,71279,53546,10919,1328,4133,1353
"73","1006 S Elm St",31.121294,-83.437921,39.700518134715,50003.3228621291,579,131487,84123,27689,1820,15058,2797
"74","1007 Kia Pkwy",32.879951,-85.155915,39.4424619640387,62680.11,723,375584,232919,90518,13555,29580,9012
"75","1007 Kia Pkwy",32.88001,-85.155931,35.9545454545455,50400.7,44,28339,10450,15577,462,1300,550
"76","1008 Bay St",31.142702,-81.494581,39.6294117647059,55749.5263157895,85,39956,23952,10721,576,3373,1334
"77","1008 S Veterans Blvd",31.922662,-81.936676,37.968,52094.06,50,24234,14976,5620,200,3054,384
"78","1009 Georgian Park Ste A",33.435735,-84.594377,41.951376146789,96433.8440366972,327,154303,98047,36650,5222,10700,3684
"79","100A Gunn Rd",32.623871,-83.687647,37.5667931688805,62569.2235067437,527,203604,123497,52097,7612,14113,6285
"80","101 4th St SW",30.877439,-84.21365,38.5181818181818,42322.828125,77,25771,15156,7163,197,2837,418
"81","101 E Northside Dr",30.868911,-83.291207,35.8443243243243,53517.1878453039,185,77876,46320,22353,1375,6296,1532
"82","101 Fairview Rd",33.619895,-84.237783,41.0348101265823,68390.1659574468,474,160557,47812,92509,3848,11271,5117
"83","101 First Paulding Dr",33.921781,-84.830078,36.2247011952191,64418.7928286853,251,155975,102753,36078,2499,9482,5163
"84","101 Greison Trl",33.368356,-84.778398,36.435593220339,53836.9576271186,236,91033,52472,26587,2075,7298,2601
"85","101 Hamilton E Holmes Dr NW",33.755613,-84.468116,37.4576687116564,53719.4339622641,163,96073,33415,47752,3508,8670,2728
"86","101 Hodgeville Rd",32.19563,-81.247544,38.1309210526316,79117.1447368421,152,79287,52019,17260,1655,5135,3218
"87","101 Hodgeville Rd",32.195663,-81.24758,36.7484848484848,83132.5151515152,66,42613,27873,9327,1183,2675,1555
"88","101 Hoffman Dr",33.041599,-84.973101,39.4989108910891,62698.8813387424,1010,496463,332287,108109,14537,29485,12045
"89","101 Lukken Industrial Dr W",33.012426,-85.029657,36.8439814814815,54668.3773584906,216,80481,47490,24899,2237,3875,1980
"90","101 Main St",33.715762,-83.799485,41.7739837398374,66085.3739837398,123,53567,39182,10036,651,2702,996
"91","101 Marshallville Rd",32.447273,-83.750124,40.7413001912046,62770.3766990291,523,283969,197426,48170,10105,21941,6327
"92","101 N Coastal Hwy",32.157285,-81.165464,40.1626168224299,83238.0934579439,107,99719,62712,19142,3628,10062,4175
"93","101 N Lathrop Ave",32.09485,-81.110894,34.0205882352941,65854.7352941177,34,36074,18820,11128,1403,3371,1352
"94","101 N Main St",31.664718,-82.02827,41.7696759259259,51338.5578703704,432,117172,80287,20624,4505,8681,3075
"95","101 N Main St",34.01487,-85.254721,38.0082568807339,48508.8357843137,436,98792,74666,11771,1101,7791,3463
"96","101 Primrose Rd SW",34.212107,-85.189898,44.3666666666667,71248.3333333333,12,7173,6579,262,45,204,83
"97","101 Riverstone Pkwy",34.24372,-84.493493,39.0066282420749,72508.8833819242,347,152153,115819,9434,2032,20440,4428
"98","101 S Broad St",32.317557,-84.518394,42.7103448275862,45822.7823529412,174,49323,29556,14626,1700,2548,893
"99","101 S Columbia Ave",32.289577,-81.234808,34.7244541484716,64951.2794759825,229,105082,70869,22010,2284,6382,3537
"100","101 S Duval St",32.159043,-81.904525,40.2770642201835,45791.8073394495,109,37203,21833,11583,271,2540,976
"101","101 S Main St",31.201851,-81.982893,40.5357798165138,43845.3773148148,436,93420,70213,12603,1307,7403,1894
"102","101 S Pierce St",31.541045,-82.462594,39.524,52481,25,13022,9459,1838,392,1031,302
"103","101 Sand Bar Ferry Rd",33.468599,-81.9477,37.697619047619,41568.4514767932,252,94517,37766,46122,1890,5586,3153
"104","101 US Highway 1 Byp N",33.00442,-82.395319,42.4867424242424,47515.0406504065,264,102599,69285,21699,1767,6809,3039
"105","101 Vineville St",32.558701,-83.884497,39.8587699316629,45543.9931034483,439,120923,70139,39531,2537,6078,2638
"106","101 W 8th St",32.876436,-85.182463,41.3534059945504,51047.8866855524,367,87920,54787,27108,1368,2699,1958
"107","101 W Central Blvd",32.330635,-81.393453,36.9414908579466,60797.2091038407,711,140151,98812,27689,1977,7061,4612
"108","1010 2nd St W",31.457476,-83.527741,38.3819314641745,53869.8515497553,642,231560,151327,44889,5575,24119,5650
"109","1010 E Walnut Ave",34.760794,-84.953217,34.5492063492064,48923.2275132275,189,66250,41054,4296,1016,19089,795
"110","1010 Highway 34 E",33.397562,-84.744929,39.3106643356643,70087.8937793427,1716,697061,435353,170629,24300,48767,18012
"111","1010 Mars Hill Rd",33.873715,-83.441809,40.4470661672909,82198.921815889,801,216844,159373,32690,4928,14903,4950
"112","1010 N 3rd Ave",34.78075,-84.769433,41.1824390243902,51129.8634146341,205,81699,62596,4283,1333,12207,1280
"113","1010 N Washington St",30.79712,-83.557181,40.9485074626866,43181.3650793651,134,37666,18791,15135,454,2665,621
"114","1010 Parkside Cmns Ste 103",33.455081,-83.245842,57.8019230769231,97319.2692307692,52,14953,12178,1414,516,694,151
"115","1010 Us 84",30.887983,-84.208347,40.5709677419355,47694.7362637363,186,47772,29476,13262,357,3776,901
"116","10100 Canal Xing",31.231831,-81.495957,41.3604260651629,59348.6414322251,3990,946987,651354,168792,24395,79157,23289
"117","1011 Martin Luther King Jr Dr",32.517261,-82.901062,38.2075471698113,41172.9433962264,53,22795,13043,8781,50,620,301
"118","1011 Martin Luther King Jr Dr",32.527018,-82.901147,34.2903846153846,32260.0192307692,52,16328,6056,8783,861,493,135
"119","1011 Noah Dr",34.473438,-84.462552,43.082229673093,64930.9774891775,1193,323441,258512,23543,5576,27276,8534
"120","10117 Eighth Division Rd",32.371132,-84.860134,35.2392941176471,61599.5714285714,425,234808,129280,57272,4444,36254,7558
"121","1012 Pine St",32.24891,-83.741746,42.1022988505747,59583.4058823529,174,95437,61282,21016,4690,6649,1800
"122","1012 Senoia Rd",33.479934,-84.589438,40.8090395480226,80432.7976878613,177,100991,49369,37883,2408,8524,2807
"123","10122 Blue Ridge Dr",34.874753,-84.32277,45.7360119047619,63450.1707317073,336,177268,129771,17826,4572,21320,3779
"124","10125 Alcovy Rd",33.617528,-83.842855,40.2863756613757,64425.7615803815,756,365710,214040,104366,8906,27744,10654
"125","10125 Highway 301",34.93051,-85.593283,44.2020833333333,51643.2083333333,192,25382,22754,839,343,530,916
"126","10131 Veterans Memorial Hwy SW",33.799097,-84.641027,35.6811688311688,57253.5584415584,154,98454,37227,47274,2429,8362,3162
"127","10141 Commerce Rd",34.048711,-83.406736,40.4066869300912,57979.5744680851,329,113956,90685,10690,1634,8198,2749
"128","1015 Claxton Dairy Rd",32.549265,-82.925519,39.5521739130435,43969.6425702811,253,55433,31648,19404,1672,1601,1108
"129","1015 Highway 155 S",33.407569,-84.166548,37.5650943396226,62371.3632075472,212,147622,69124,55150,2526,16309,4513
"130","1015 Norcross Industrial Ct",33.949484,-84.202594,35.4,79017.6666666667,12,7967,3222,4514,21,157,53
"131","1016 N Glenwood Ave",34.787191,-84.962171,35.7112903225806,48281.2857142857,186,66510,43395,3476,591,17926,1122
"132","1016 W Japonica Ave",31.011877,-83.866837,34.8466666666667,55951.4666666667,15,4095,2184,995,110,538,268
"133","1017 N Peachtree Pkwy",33.439267,-84.588382,41.9401253918495,93037.4076433121,638,207024,107002,73644,5283,15577,5518
"134","1017 S Main St",32.739943,-81.630857,42.704347826087,52421.9565217391,46,16434,10094,4952,498,498,392
"135","10176 Alcovy Rd",33.617984,-83.841029,39.2050847457627,62220.2543859649,236,110608,71201,26188,1759,8720,2740
"136","1019 Highway 20 81",33.430372,-84.17831,38.5349807445443,67228.6657929227,1558,802157,495091,202181,21624,61451,21810
"137","102 Atlantic Ave",33.719468,-85.148454,38.2344827586207,51742.3072289157,174,72622,55863,10075,1156,3802,1726
"138","102 Court Sq",31.036945,-82.748503,39.9719512195122,36927.0320512821,164,32013,23313,5554,39,2521,586
"139","102 E Railroad St",32.300235,-84.029215,40.0428571428571,49835.0178571429,56,13737,7749,4968,13,744,263
"140","102 Highway 83",33.785122,-83.609691,39.4466165413534,63070.9398496241,399,165739,118344,31277,3847,8896,3375
"141","102 Lisa St",32.272685,-81.225563,35.7518796992481,70194.5305343511,266,115879,79985,21267,3410,7548,3669
"142","102 Park Ave SE",34.186624,-85.174728,39.6472131147541,51743.5868852459,305,75125,54874,10138,2481,5919,1713
"143","102 Poplar Street",32.530863,-82.589687,41.5842477876106,43565.8123861566,565,148289,98829,35080,2251,8450,3679
"144","102 Princeton Blvd",34.375799,-84.914819,40.2358638743455,59768.5343915344,382,190880,146318,16370,3358,19521,5313
"145","102 S Main St",33.20789,-82.388597,44.2066666666667,43778.4642857143,60,13020,6514,5421,184,754,147
"146","102 Spring Ln",32.178599,-82.594453,40.4404530744337,38977.4784053156,309,51110,32438,12781,261,4989,641
"147","102 W 37th St",32.057708,-81.10139,39.3848837209302,69611.6976744186,86,59923,33093,18012,1959,4115,2744
"148","1020 Baker Hwy E",31.495116,-82.830136,37.0573248407643,42910.9782135076,471,107552,65926,24676,847,13957,2146
"149","1020 E. E. Butler Pkwy.",34.286795,-83.811221,38.3566570605187,63321.8958455237,1735,749311,483435,102572,26686,119693,16925
"150","10200 Old Federal Rd",34.348188,-83.320996,40.7055555555556,56478.1283524904,522,278924,181531,43693,10391,35100,8209
"151","10200 Old Federal Rd",34.348242,-83.320594,40.9083032490975,57656.761732852,277,122951,91642,12091,7117,8634,3467
"152","1020B S Laurel St",32.356386,-81.303674,33.1,62066.625,32,23275,17111,4109,109,1139,807
"153","1021 Mize Rd",34.552691,-83.32107,42.8779324055666,54473.6937119675,503,183105,146317,14819,1957,15218,4794
"154","1021 S West St",30.893951,-84.576123,41.5236533957845,45530.1087470449,427,67559,37884,23224,1532,3545,1374
"155","10226 Old Federal Rd",34.347448,-83.322311,40.3284139620331,58638.2137071651,1633,882757,539242,165971,28516,126802,22226
"156","1023 Sandy Plains Rd",33.995209,-84.523306,39.2334841628959,82616.7419354839,221,121323,75029,25461,4794,11882,4157
"157","1024 US Highway 80 E",32.10909,-81.23066,37.9385852090032,67073.8199356913,311,235888,145120,50910,8873,23339,7646
"158","10244 Highway 72 W",34.015323,-83.293634,40.0556354916067,53854.7872860636,417,119468,80486,22762,2021,12372,1827
"159","1025 Chastain Rd NW",34.031798,-84.580259,37.9172955974843,77654.1257961783,636,377510,252589,63096,16126,35158,10541
"160","1025 N Highland Ave NE",33.782588,-84.354101,37.8978723404255,92698.2765957447,94,50358,24632,9589,6524,8088,1525
"161","1025 N Highland Ave NE",33.782645,-84.35417,41.7333333333333,130766.333333333,12,5431,4601,42,181,406,201
"162","1026 Golden Isles Hwy",32.445991,-83.378955,41.85,56211.3333333333,24,14954,10630,3104,380,556,284
"163","10260 Sr 36",33.570003,-83.849984,37.8321299638989,58209.7457305503,554,191811,112534,63923,1529,10559,3266
"164","1027 Horse Creek Rd SW",31.395229,-81.446944,42.2129133858268,72861.3672131147,635,436283,294874,57755,16979,52830,13845
"165","1027 Horse Creek Rd SW",31.395242,-81.446961,43.3714285714286,73720.7634854772,245,180352,119721,21302,5687,28717,4925
"166","1027 Marietta Rd",34.218867,-84.501997,35.2454545454545,56432.3636363636,33,33128,22479,2863,370,7004,412
"167","1027 Merchants Dr",33.912018,-84.819289,36.0727272727273,59180.6363636364,132,88031,62472,15649,581,6575,2754
"168","1029 N Davis Dr",32.647902,-83.613146,37.4122807017544,37627.3333333333,57,22966,10606,9685,617,1389,669
"169","103 Durham St",33.919087,-84.859379,36.9897435897436,76697,39,30370,24648,3602,138,1528,454
"170","103 Veterans Pkwy S",31.175795,-83.761073,38.5911227154047,43190.0765171504,383,114465,71916,23087,1083,16177,2202
"171","103 W Central Ave",31.715416,-83.254769,40.1813043478261,43083.7826086957,230,47965,32374,8314,1648,3950,1679
"172","1030 Barnesville St",32.894971,-84.313894,43.2069565217391,45632.7565217391,115,32876,23058,8420,301,606,491
"173","1030 E Shotwell St",30.90362,-84.561913,40.422,46364.475,200,40367,23562,13814,229,2011,751
"174","1030 E Shotwell St",30.903625,-84.56192,40.0636363636364,41426.0404040404,99,28745,14182,12444,69,1586,464
"175","1030 Highway 42 N",33.474431,-84.162245,38.0594059405941,82655.1287128713,101,93086,49921,31011,2432,6257,3465
"176","1031 Alabama Ave S",33.694743,-85.150921,38.9512756689483,54701.8329081633,1611,346595,248506,58412,8439,21311,9927
"177","1031 Ga 100 S",33.687229,-85.261382,41.862518089725,56045.2388059701,691,252967,183833,46033,3729,13980,5392
"178","1031 Jordan Dr",33.919502,-83.443327,40.0587257617729,65301.8161559889,722,263886,179212,52490,5806,20748,5630
"179","10317 US Highway 84 E",30.835562,-83.940463,42.5302803738318,51978.1612903226,535,138638,90054,31598,1453,11828,3705
"180","1032 Ga 142",33.573849,-83.770688,36.7496644295302,64524.829787234,149,53296,30930,18330,1058,2261,717
"181","10325 Abercorn St",31.989333,-81.131216,38.4138888888889,57460.8837209302,180,106061,56243,35178,2655,7267,4718
"182","10335 Tara Blvd",33.473027,-84.337406,35.2331983805668,60345.0668016194,494,248273,77453,129444,8933,24169,8274
"183","1035 E Franklin St",34.355142,-82.911648,43.3000806451613,50652.9293433084,1240,297065,198790,58910,8619,23726,7020
"184","1035 Lake Oconee Pkwy",33.422078,-83.26845,44.990625,70504.5210084034,480,202656,126553,53257,8646,10138,4062
"185","10375 Tara Blvd",33.471805,-84.337101,35.245530726257,57823.8044692737,358,175613,57303,88836,5089,20292,4093
"186","1038 Atwater Rd",32.966659,-84.359283,43.7720338983051,53652.9661016949,118,29866,22785,5284,199,556,1042
"187","104 Cottonwood Mill Rd",34.833349,-85.045611,40.2352688172043,55060.7462365591,465,117131,94990,4284,1918,13644,2295
"188","104 Eatonton Hwy",33.009996,-83.533584,40.1128205128205,56591.2136752137,117,35716,24143,10185,176,740,472
"189","104 Ga 94",30.703686,-83.028892,41.7717741935484,45313.8729508197,248,68075,49911,9088,374,7585,1117
"190","104 Gtm Pkwy",34.013062,-85.046582,39.066301703163,53541.1467181467,822,231229,169093,36824,3153,15505,6654
"191","104 Highway 400 S",34.363,-84.038269,40.2334140435835,70383.0326876513,826,238316,188407,16026,4108,24893,4882
"192","104 Jessup St",32.378394,-83.363484,41.3345454545455,49849.3696969697,165,43614,28113,12601,678,1646,576
"193","104 Philema Rd",31.609155,-84.154221,40.7042755344418,59914.7602905569,421,116341,65624,39394,1717,6891,2715
"194","1040 Bussey Rd",31.68029,-83.622294,38.4428571428571,52914.6666666667,49,32963,21086,5860,623,4800,594
"195","1040 Floyd Rd",32.467856,-84.911019,35.1752808988764,44723.1056179775,445,122238,47474,60588,3433,6216,4527
"196","1040 Ga 41 N",32.332691,-84.529046,44.9785714285714,44137.3571428571,42,11092,6115,3832,77,830,238
"197","10401 Abercorn St",31.988755,-81.131463,35.2710900473934,51215.654028436,211,72944,39569,22558,2096,5699,3022
"198","1041 Bussey Rd",31.681003,-83.621603,41.6225352112676,64028.615942029,142,94783,62255,17282,3019,10411,1816
"199","1042 White Oak Rd",33.472972,-82.479117,36.7530303030303,43966.4318181818,132,34193,18352,12830,272,1212,1527
"200","1042 White Oak Rd",33.473007,-82.479012,37.0728323699422,42424.8092485549,173,44073,24171,15938,182,2111,1671
"201","1043 E Forsyth St",32.073073,-84.218695,39.0295681063123,43804.0580204778,301,58219,28849,25460,567,2479,864
"202","10440 Ten Mile Rd",31.877289,-82.202785,36.3617647058824,42616.1764705882,34,9970,5807,2984,35,936,208
"203","1045 Floyd Rd",32.46822,-84.911466,35.8725118483412,40663.9194312796,211,66307,18350,40603,1491,3625,2238
"204","1045 Furys Ferry Rd",33.569409,-82.115952,38.8365,89101.485,200,87318,55701,18675,3246,5384,4312
"205","1045 Furys Ferry Rd",33.56982,-82.116091,39.6113414634146,90238.0124378109,820,213465,144555,40691,6766,12780,8673
"206","1046 Alabama St",33.586714,-85.096268,35.825,45691.7115384615,52,34871,19880,7466,1143,5428,954
"207","1046 Collinsworth Rd",33.501352,-84.640779,40.5008528784648,74508.9079229122,938,517120,338511,107162,17638,39386,14423
"208","1046 W Oglethorpe Hwy",31.811552,-81.602202,33.385401459854,49335.8646616541,137,66801,30836,23110,872,7973,4010
"209","1048 N Taliburton Hwy",33.036773,-84.713091,41.8642857142857,53073.7645631068,420,154504,98036,42238,2506,8616,3108
"210","10490 Bells Ferry Rd",34.192004,-84.53871,40.8348484848485,88079.9242424242,396,172737,127097,17160,4967,19316,4197
"211","105 E 6th Ave",32.317535,-84.517654,42.189756097561,45822.8358208955,410,99371,58196,30643,709,7624,2199
"212","105 E Griffin Ave",30.749656,-84.486312,37.4309278350515,44952.9896907216,97,23565,11672,9353,155,1864,521
"213","105 E Main St",34.102098,-84.518336,40.3444444444444,99418,36,38299,26997,3832,894,5960,616
"214","105 Eagles Landing Pkwy",33.517728,-84.191639,37.6898210290828,75011.0995525727,894,395449,189976,151160,11952,29991,12370
"215","105 Ernest Barrett Pkwy",34.01348,-84.552135,38.1566992524439,75314.7597214161,1743,869603,567512,153379,34959,87026,26727
"216","105 Gray Rd",33.298389,-83.383631,45.022641509434,60010.5714285714,265,92240,61230,20395,2985,5816,1814
"217","105 Hinson Mosley Rd",31.601743,-81.924528,39.7184410646388,47088.6673151751,526,103293,72332,19977,703,8077,2204
"218","105 Long Dr",34.080635,-84.543323,38.9334344200152,86055.5880092237,1319,514845,369557,62468,15520,52980,14320
"219","105 Marshallville Rd",32.447233,-83.751387,41.0585365853659,63518.3184079602,205,98647,66829,19882,2485,7304,2147
"220","105 Michaels Dr",33.378502,-84.126089,41,62875.2,20,14732,5747,7963,142,616,264
"221","105 Queen St",32.214877,-82.405654,39.2779136104319,46393.8277385159,1227,174292,114074,41686,917,14546,3069
"222","105 W Walnut Ave",34.761135,-84.968645,37.4317689530686,50810.0685920578,277,114784,76255,12310,2604,21441,2174
"223","1050 Holcombe Rd",33.764051,-84.233332,35,48003.2777777778,144,73040,18280,47824,1499,3513,1924
"224","1050 King George Blvd",31.985124,-81.220294,38.9661691542289,71634.3383084577,201,92637,50011,29011,3003,7246,3366
"225","1050 McEver Rd",34.293279,-83.866317,36.4516393442623,67649.2131147541,122,75791,47202,6513,2209,17491,2376
"226","1051 Montreal Rd",33.815705,-84.244164,30.9887931034483,47114.3660714286,116,64791,13031,35155,6850,7402,2353
"227","1052 S Main St",32.739317,-81.630872,43.4415384615385,42041.1230769231,65,21921,14509,5796,319,741,556
"228","10525 Abercorn St",31.98404,-81.133221,37.0063694267516,58793.3602564103,785,320343,179102,95833,7923,24523,12962
"229","10525 Abercorn St",31.984183,-81.133331,35.2078947368421,53159.2293577982,114,88773,49870,26160,2731,6320,3692
"230","10525 Us 1 S",32.868833,-82.39463,41.0882960413081,51443.2446428571,581,237913,154716,48152,4382,25108,5555
"231","10525 US Highway 1 S",32.868199,-82.395808,42.2689655172414,42667.7324561404,232,74345,41722,23893,1455,5943,1332
"232","1054 Highway 36 W",33.001575,-84.194239,40.7448717948718,48651.1578947368,156,59159,37515,17013,1108,2566,957
"233","1054 S Ga 247",32.496289,-83.607184,39.0053333333333,66089.4929577465,75,47394,30699,11828,872,2835,1160
